pyLabel,pyName,pyGroup,pyIssue,Category,TreatmentWeight,ContentFormat,PlacementType,Height,Width,ImageURL,StartDate,EndDate,ClickThroughURL,EligibilityConditions,Language,SourceRuleSetVersion,SourceRuleSetName,ApplyInheritedEligibility,pyIsPropositionActive,TreatmentType,Headline,Text_emb_dim1_header,Text_emb_dim2_header,Text_emb_dim3_header,Text_emb_dim4_header,Text_emb_dim5_header,Text_emb_dim6_header,Text_emb_dim7_header,Text_emb_dim8_header
Mobile Banking - Your Bank in Your Hands,TC002,,,Service,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer3.jpg,,,,,en_gb,01/01/2001,DentsuMerkleFWp-Artifacts,TRUE,Always,Web,Mobile Banking - Your Bank in Your Hands,-0.029353531,-0.001962475,-0.237105003,0.066649164,-0.173066998,0.13312987642246146,0.1613648234024823,0.010962614
Regular Home Saver,TC003,,,Savings,,Image,Tile,600,600,http://clo1prpc91:8443/retail_bank/img/offer2.jpg,,,,,en_gb,01/01/2001,DentsuMerkleFWp-Artifacts,TRUE,Always,Web,Regular Home Saver,-0.016944998,0.037945427,0.085803564,0.14688309610766345,-0.067775032,-0.074421234,-0.176361181,0.076403397
Free Business Banking Offer Expires Soon,TC004,,,Service,,,Tile,,,,,,,,,,,,Always,Web,Free Business Banking Offer Expires Soon,-0.008873874,-0.000907373,-0.088028249,0.095460442,0.053790659,0.10688442772768543,0.074672895,0.019262345
Use your ISA Allowance now before you lose it,TC009,,,Savings,,,Tile,,,,,,,,,,,,Always,Web,Use your ISA Allowance now before you lose it,-0.045691428,-0.059624533,0.003659208,0.22201788447941073,0.072581497,-0.114669999,-0.089007497,0.050599708
You haven't used your Gold Mastercard for a while,TC011,,,Credit Cards,,,Tile,,,,,,,,,,,,Always,Web,You haven't used your Gold Mastercard for a while,-0.059545032,-0.23567368,-0.131009511,-0.031103982,-0.079583184,-0.047749644,-0.161094977,-0.080820083
Get in touch for all your Business Banking needs,TC013,,,Current Account,,,Tile,,,,,,,,,,,,Always,Web,Get in touch for all your Business Banking needs,-0.022009758,0.046674324,-0.216892515,-0.003796802,0.001955848,0.092531573,0.10905480099337671,0.075370977
Helping you buy your first home in the place you love.,TC016,,,Mortgage,,,Tile,,,,,,,,,,,,Always,Web,Helping you buy your first home in the place you love.,0.036558859,0.1672952624842904,0.010631725893687835,-0.049705802,-0.055418837,-0.181267381,-0.044835068,0.044370346792393635
Rapport Security Software,TC017,,,Security Message,,,Tile,,,,,,,,,,,,Always,Web,Rapport Security Software,-0.163761615,0.028645208151613005,-0.052313497,0.021394468329081304,-0.114786535,0.16952562673774843,-0.211694601,0.2747259744180302
Mortgage Offers for Remortgaging,TC019,,,Mortgage,,,Tile,,,,,,,,,,,,Always,Web,Mortgage Offers for Remortgaging,0.002057088,0.20677935611266055,-0.094235026,-0.060556219,0.012825524624330948,-0.064854833,-0.08288766,0.0454325
There are lots of ways to stay in touch,TC021,,,Service,,,Tile,,,,,,,,,,,,Always,Web,There are lots of ways to stay in touch,-0.182591074,-0.012714812,-0.042818211,0.016701974,-0.166754315,0.006911034,0.002122475,0.179212902
Mobile Banking - Your Bank in Your Hands,TC022,,,Service,,,Tile,,,,,,,,,,,,Always,Web,Mobile Banking - Your Bank in Your Hands,-0.029353531,-0.001962475,-0.237105003,0.066649164,-0.173066998,0.13312987642246155,0.16136482340248223,0.010962614
Mortgage Payment Tips,TC035,,,Service,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/main-offer.jpg,,,,,,01/01/2001,DentsuMerkleFWp-Artifacts,TRUE,Always,Web,Mortgage Payment Tips,-0.047379948,0.13109109598774177,-0.000378926,-0.006805408,-0.128201977,-0.030093239,-0.122509268,-0.109049883
